id,sku,name,description,generatedDescription,brand,price,originalPrice,currency,categoryId,colors,sizes,inStock,imageUrl,images,sourceUrl
"abc-241605","65130416","Pebbled Leather Belt with Gold-Tone Square Logo Buckle","KURT GEIGER — Pebbled Leather Belt with Gold-Tone Square Logo Buckle. Available in Black.","true","KURT GEIGER","124","","USD","women-accessories-belts","Black","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e875598216.opt.webp?id=2301691","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e875598216.opt.webp?id=2301691|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e8770274e8.opt.webp?id=2301692|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e8771a0a1a.opt.webp?id=2301693|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e87733cfbf.opt.webp?id=2301694","https://shopwithabc.com/lb/en/product/pebbled-leather-belt-with-gold-tone-square-logo-buckle"
"abc-241580","65130420","Blue, Burgundy & Ivory Chain Print Square Scarf","KURT GEIGER — Blue, Burgundy & Ivory Chain Print Square Scarf. Available in Red.","true","KURT GEIGER","109","","USD","women-accessories-gloves-and-scarves","Red","TUNIQUE","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac799c4b6.opt.webp?id=2301867","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac799c4b6.opt.webp?id=2301867|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac82e4200.opt.webp?id=2301868|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac891cf07.opt.webp?id=2301871|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac84c90f0.opt.webp?id=2301869|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac871b7b6.opt.webp?id=2301870","https://shopwithabc.com/lb/en/product/blue-burgundy-ivory-chain-print-square-scarf"
"abc-241578","65130412","Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail","KURT GEIGER — Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail. Available in Black.","true","KURT GEIGER","79","","USD","women-accessories-belts","Black","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac60daf10.opt.webp?id=2301863","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac60daf10.opt.webp?id=2301863|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac6e026ba.opt.webp?id=2301864|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac6f81e01.opt.webp?id=2301865|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac712b01a.opt.webp?id=2301866","https://shopwithabc.com/lb/en/product/slim-leather-belt-with-gold-tone-square-buckle-and-logo-charm-detail"
"abc-241576","65130402","Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle","KURT GEIGER — Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle. Available in Black.","true","KURT GEIGER","124","","USD","women-accessories-belts","Black","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac31485ef.opt.webp?id=2301857","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac31485ef.opt.webp?id=2301857|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3934b39.opt.webp?id=2301858|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3aaf742.opt.webp?id=2301859|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3c4abd4.opt.webp?id=2301860|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3de407e.opt.webp?id=2301861|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3fa6a55.opt.webp?id=2301862","https://shopwithabc.com/lb/en/product/kensington-suede-crystal-embellished-belt-with-tonal-logo-buckle"
"abc-241571","65130410","Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail","KURT GEIGER — Red Textured Leather Belt with Gold-Tone Buckle and Logo Detail. Available in Red.","true","KURT GEIGER","79","","USD","women-accessories-belts","Red","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab796dd24.opt.webp?id=2301837","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab796dd24.opt.webp?id=2301837|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab8343d6e.opt.webp?id=2301838|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab84e1853.opt.webp?id=2301839|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab8682a02.opt.webp?id=2301840","https://shopwithabc.com/lb/en/product/red-textured-leather-belt-with-gold-tone-buckle-and-logo-detail"
"abc-241569","65130418","Brown Suede Waist Belt with Studded Buckle and Logo Detail","KURT GEIGER — Brown Suede Waist Belt with Studded Buckle and Logo Detail. Available in Brown.","true","KURT GEIGER","109","","USD","women-accessories-belts","Brown","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab46a07b1.opt.webp?id=2301833","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab46a07b1.opt.webp?id=2301833|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab50c336e.opt.webp?id=2301834|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab5270e3e.opt.webp?id=2301835|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab53f0fc6.opt.webp?id=2301836","https://shopwithabc.com/lb/en/product/brown-suede-waist-belt-with-studded-buckle-and-logo-detail"
"abc-241567","65130406","Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle","KURT GEIGER — Tan Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Camel.","true","KURT GEIGER","94","","USD","women-accessories-belts","Camel","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab1d7072d.opt.webp?id=2301829","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eab1d7072d.opt.webp?id=2301829|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab25e94bd.opt.webp?id=2301830|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab27b7ddc.opt.webp?id=2301831|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eab29748ef.opt.webp?id=2301832","https://shopwithabc.com/lb/en/product/tan-suede-belt-with-quilted-stitching-and-gold-tone-buckle"
"abc-241565","65130404","Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle","KURT GEIGER — Brown Suede Belt with Quilted Stitching and Gold-Tone Buckle. Available in Brown.","true","KURT GEIGER","94","","USD","women-accessories-belts","Brown","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea997de300.opt.webp?id=2301825","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea997de300.opt.webp?id=2301825|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea99fdfb8e.opt.webp?id=2301826|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea9a196dd4.opt.webp?id=2301827|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea9a363d85.opt.webp?id=2301828","https://shopwithabc.com/lb/en/product/brown-suede-belt-with-quilted-stitching-and-gold-tone-buckle"
"abc-241563","65130400","Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle","KURT GEIGER — Houndstooth Crystal-Embellished Belt with Gold-Tone Logo Buckle. Available in Gold.","true","KURT GEIGER","109","","USD","women-accessories-belts","Gold","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea95ed6f46.opt.webp?id=2301819","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea95ed6f46.opt.webp?id=2301819|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea968e3ec3.opt.webp?id=2301820|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96adb8ef.opt.webp?id=2301821|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96d08e39.opt.webp?id=2301822|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea96e6efe1.opt.webp?id=2301823|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea970a4414.webp?id=2301824","https://shopwithabc.com/lb/en/product/houndstooth-crystal-embellished-belt-with-gold-tone-logo-buckle"
"abc-241561","65130398","Leather Belt with Green Piping and Crystal-Embellished Buckle","KURT GEIGER — Leather Belt with Green Piping and Crystal-Embellished Buckle. Available in Beige.","true","KURT GEIGER","94","","USD","women-accessories-belts","Beige","SM|ML","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea91f655fa.opt.webp?id=2301815","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9ea91f655fa.opt.webp?id=2301815|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea927d0f0c.opt.webp?id=2301816|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea92989fda.opt.webp?id=2301817|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9ea92b42ef3.opt.webp?id=2301818","https://shopwithabc.com/lb/en/product/leather-belt-with-green-piping-and-crystal-embellished-buckle"
"abc-241392","65163190","Studded Leather Belt with Antique Silver Buckle","FREE PEOPLE — Studded Leather Belt with Antique Silver Buckle. Available in Cognac, Black.","true","FREE PEOPLE","89","","USD","women-accessories-belts","Cognac|Black","ML|SM|XSS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e7492808f7.webp?id=2301439","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e7492808f7.webp?id=2301439|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e749840e69.webp?id=2301440|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e749931bb8.webp?id=2301441","https://shopwithabc.com/lb/en/product/studded-leather-belt-with-antique-silver-buckle"
"abc-240537","65161637","Vegetable-Tanned Leather Charm Belt","Thin vegetable-tanned leather belt with buckle and charms

- Thin belt
- Vegetable-tanned leather
- Metal buckle
- Decorative charms","false","CLAUDIE","159","","USD","women-accessories-belts","Camel","1|2|3","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a86c2c138435.opt.webp?id=2300734","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a86c2c138435.opt.webp?id=2300734|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a86c2cdd7569.opt.webp?id=2300735|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a86c2cf98dcc.opt.webp?id=2300736","https://shopwithabc.com/lb/en/product/vegetable-tanned-leather-charm-belt"
"abc-212358","65155552","Charm Keyring with Flowers","Keyring with pendant charm consisting of two leaves and four blooming flowers, made from coated faux leather fabric and finished with a metal plaque featuring the Love Birds. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","false","PINKO","104","","USD","women-accessories-faux-bijoux","Burgundy","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7edb884f842.opt.webp?id=2271308","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7edb884f842.opt.webp?id=2271308|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7edb9267a83.opt.webp?id=2271309","https://shopwithabc.com/lb/en/product/charm-keyring-with-flowers"
"abc-212287","65154999","Keyring Charm with Bird and Rhinestones","Bird-shaped keyring accessory embellished with tone-on-tone rhinestones all over and featuring a small ring with the iconic Love Birds logo—a hallmark of PINKO's DNA. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","false","PINKO","84","","USD","women-accessories-faux-bijoux","Black","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7ee474a6117.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7ee474a6117.webp","https://shopwithabc.com/lb/en/product/keyring-charm-with-bird-and-rhinestones"
"abc-212224","65155003","Keyring Charm with Heart and Studs","Keyring with small ring featuring the iconic Love Birds and two charms: a love heart in coated leather-effect fabric dotted with studs around the edge and embellished with metal PINKO logo lettering in the centre, and a tassel with long fringes, also made from coated leather-effect fabric and embellished with studs. This charm keyring also features a small clasp, allowing you to use it to personalise your favourite bag and make it even more special.","false","PINKO","69","","USD","women-accessories-faux-bijoux","Black Gold","OS","true","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eec69dcc64.opt.webp","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7eec69dcc64.opt.webp|https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7eec75cbc39.webp","https://shopwithabc.com/lb/en/product/keyring-charm-with-heart-and-studs"
