"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Regular price","Sale price","Categories","Tags","Brands","Images","Parent","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"","variable","ABC-241605","Pebbled Leather Belt with Gold-Tone Square Logo Buckle","1","0","visible","KURT GEIGER — Pebbled Leather Belt with Gold-Tone Square Logo Buckle. Available in Black.","KURT GEIGER — Pebbled Leather Belt with Gold-Tone Square Logo Buckle. Available in Black.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9e875598216.opt.webp?id=2301691, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e8770274e8.opt.webp?id=2301692, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e8771a0a1a.opt.webp?id=2301693, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9e87733cfbf.opt.webp?id=2301694","","Color","Black","1","0","Size","SM, ML","1","0"
"","variation","65130416","Pebbled Leather Belt with Gold-Tone Square Logo Buckle","1","","visible","","","taxable","1","6","","","124","","","","","","ABC-241605","Color","Black","","0","Size","SM","","0"
"","variation","65130417","Pebbled Leather Belt with Gold-Tone Square Logo Buckle","1","","visible","","","taxable","1","4","","","124","","","","","","ABC-241605","Color","Black","","0","Size","ML","","0"
"","simple","65130420","Blue, Burgundy & Ivory Chain Print Square Scarf","1","0","visible","KURT GEIGER — Blue, Burgundy & Ivory Chain Print Square Scarf. Available in Red.","KURT GEIGER — Blue, Burgundy & Ivory Chain Print Square Scarf. Available in Red.","taxable","1","9","0","0","109","","Women > Accessories > Gloves & Scarves","KURT GEIGER, women-accessories-gloves-and-scarves","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac799c4b6.opt.webp?id=2301867, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac82e4200.opt.webp?id=2301868, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac891cf07.opt.webp?id=2301871, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac84c90f0.opt.webp?id=2301869, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac871b7b6.opt.webp?id=2301870","","Color","Red","1","0","Size","TUNIQUE","1","0"
"","variable","ABC-241578","Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail","1","0","visible","KURT GEIGER — Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail. Available in Black.","KURT GEIGER — Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail. Available in Black.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac60daf10.opt.webp?id=2301863, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac6e026ba.opt.webp?id=2301864, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac6f81e01.opt.webp?id=2301865, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac712b01a.opt.webp?id=2301866","","Color","Black","1","0","Size","SM, ML","1","0"
"","variation","65130412","Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail","1","","visible","","","taxable","1","3","","","79","","","","","","ABC-241578","Color","Black","","0","Size","SM","","0"
"","variation","65130413","Slim Leather Belt with Gold-Tone Square Buckle and Logo Charm Detail","1","","visible","","","taxable","1","1","","","79","","","","","","ABC-241578","Color","Black","","0","Size","ML","","0"
"","variable","ABC-241576","Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle","1","0","visible","KURT GEIGER — Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle. Available in Black.","KURT GEIGER — Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle. Available in Black.","taxable","1","","0","0","","","Women > Accessories > Belts","KURT GEIGER, women-accessories-belts","KURT GEIGER","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9eac31485ef.opt.webp?id=2301857, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3934b39.opt.webp?id=2301858, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3aaf742.opt.webp?id=2301859, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3c4abd4.opt.webp?id=2301860, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3de407e.opt.webp?id=2301861, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9eac3fa6a55.opt.webp?id=2301862","","Color","Black","1","0","Size","SM, ML","1","0"
"","variation","65130402","Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle","1","","visible","","","taxable","1","5","","","124","","","","","","ABC-241576","Color","Black","","0","Size","SM","","0"
"","variation","65130403","Kensington Suede Crystal-Embellished Belt with Tonal Logo Buckle","1","","visible","","","taxable","1","4","","","124","","","","","","ABC-241576","Color","Black","","0","Size","ML","","0"
